Unnamed: 0,Fact_ID,Datetime,Stop_ID,Remote_Unit_ID,Line_ID,Rider_Count,Stop_Name,North_Direction_Label,South_Direction_Label,Division,Line,Connecting_Lines,Daytime_Routes,Remote_Unit,Hour,Day,Month,Year,Capacity,Peak_Off_Peak,Schedule_On_Time,Trip_Timing,Event_Type,Status,Battery_Health,Demographic,Travel_Pattern,Entries,Exits,Near_Commercial_Area,Near_University
0,1,2024-01-11 23:32:00,7,4,5,90,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,23,Thursday,1,2024,90,Peak,On-Time,18.953844577941332,Alert,Operational,73.37421925807752,Senior,Occasional,60,30,False,False
1,173,2024-01-18 15:40:00,7,4,5,358,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,15,Thursday,1,2024,358,Peak,Delayed,89.65663229724461,Maintenance,Offline,67.45283591753605,Youth,Rare,195,163,False,True
2,173,2024-01-18 15:40:00,7,4,5,358,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,15,Thursday,1,2024,358,Off-Peak,On-Time,101.27164989469257,Alert,Offline,83.56951553850823,Adult,Frequent,261,97,False,False
3,4852,2024-01-18 15:40:00,8,5,4,247,Canal St,Downtown,Uptown Bronx,BMT,Lexington Av,"L, 4, 5, 6","4, 5, 6",R180,15,Thursday,1,2024,247,Peak,Delayed,96.12311392977553,Maintenance,Degraded,90.49937913329543,Youth,Occasional,246,1,False,True
4,4852,2024-01-18 15:40:00,8,5,4,247,Canal St,Downtown,Uptown Bronx,BMT,Lexington Av,"L, 4, 5, 6","4, 5, 6",R180,15,Thursday,1,2024,247,Off-Peak,Delayed,12.416814445384118,Maintenance,Degraded,94.51892174478701,Senior,Rare,205,42,False,False
5,306,2024-01-10 22:37:00,7,4,5,361,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,22,Wednesday,1,2024,361,Off-Peak,Delayed,62.50918303504298,Alert,Offline,93.47392698266076,Adult,Frequent,223,138,False,False
6,315,2024-01-15 04:33:00,7,4,5,433,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,4,Monday,1,2024,433,Peak,On-Time,59.0298133486652,Alert,Degraded,65.89709167232556,Senior,Frequent,211,222,False,False
7,514,2024-01-16 17:48:00,7,4,5,289,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,17,Tuesday,1,2024,289,Off-Peak,On-Time,61.09941814683945,Maintenance,Offline,96.5832400037211,Adult,Rare,3,286,False,False
8,586,2024-01-07 05:24:00,7,4,5,51,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,5,Sunday,1,2024,153,Peak,On-Time,57.07587987814711,Alert,Offline,56.58484800693829,Adult,Frequent,37,14,True,False
9,586,2024-01-07 05:24:00,7,4,5,51,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,5,Sunday,1,2024,101,Peak,Delayed,86.07049365121114,Maintenance,Offline,61.292521960545514,Senior,Frequent,20,31,False,False
10,9361,2024-01-07 05:24:00,7,6,2,65,Grand Central,Uptown,Downtown Brooklyn,BMT,Broadway,"N, Q, R, W","N, Q, R",R191,5,Sunday,1,2024,189,Off-Peak,On-Time,111.27064208155323,Alert,Offline,79.9126695744288,Senior,Occasional,38,27,False,False
11,9361,2024-01-07 05:24:00,7,6,2,65,Grand Central,Uptown,Downtown Brooklyn,BMT,Broadway,"N, Q, R, W","N, Q, R",R191,5,Sunday,1,2024,67,Peak,Delayed,70.28420175911656,Maintenance,Degraded,95.45031914428651,Senior,Occasional,2,63,False,False
12,731,2024-01-28 16:47:00,7,4,5,460,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,16,Sunday,1,2024,460,Peak,On-Time,102.96470335932229,Malfunction,Operational,78.14049330841856,Youth,Frequent,27,433,False,True
13,772,2024-01-01 15:23:00,7,4,5,337,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,15,Monday,1,2024,337,Off-Peak,Delayed,113.19539203540101,Maintenance,Offline,56.90218877580715,Youth,Occasional,228,109,False,False
14,772,2024-01-01 15:23:00,7,4,5,337,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,15,Monday,1,2024,337,Peak,On-Time,93.13120302449788,Malfunction,Offline,60.442048988018314,Youth,Frequent,50,287,False,True
15,1900,2024-01-01 15:23:00,6,6,1,358,Wall St,Downtown,Uptown,IRT,7th Av,"1, 2, 3","1, 2, 3",R191,15,Monday,1,2024,358,Off-Peak,Delayed,52.79796993317529,Maintenance,Degraded,57.97194383961913,Youth,Frequent,81,277,False,False
16,1900,2024-01-01 15:23:00,6,6,1,358,Wall St,Downtown,Uptown,IRT,7th Av,"1, 2, 3","1, 2, 3",R191,15,Monday,1,2024,358,Peak,Delayed,88.49093249561372,Maintenance,Operational,57.722861770407775,Youth,Rare,186,172,False,True
17,1075,2024-01-18 00:05:00,7,4,5,135,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,0,Thursday,1,2024,135,Peak,Delayed,37.569885428168774,Maintenance,Offline,81.30349660607388,Adult,Frequent,68,67,True,False
18,1275,2024-01-08 22:33:00,7,4,5,81,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,22,Monday,1,2024,137,Peak,On-Time,54.9891776997549,Malfunction,Degraded,50.769080411149346,Adult,Occasional,23,58,True,False
19,1275,2024-01-08 22:33:00,7,4,5,81,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,22,Monday,1,2024,168,Off-Peak,Delayed,60.72118479262742,Maintenance,Offline,60.63534782454684,Senior,Occasional,45,36,False,False
20,1654,2024-01-08 22:33:00,7,2,6,181,Grand Central,Uptown,Downtown Brooklyn,BMT,Liberty Av,"A, S","L, M",R215,22,Monday,1,2024,181,Peak,On-Time,54.61112795560108,Maintenance,Degraded,95.831785187044,Adult,Frequent,102,79,True,False
21,1654,2024-01-08 22:33:00,7,2,6,181,Grand Central,Uptown,Downtown Brooklyn,BMT,Liberty Av,"A, S","L, M",R215,22,Monday,1,2024,181,Off-Peak,On-Time,104.26420937739385,Malfunction,Offline,66.58412987860446,Adult,Frequent,110,71,False,False
22,1550,2024-01-28 07:42:00,7,4,5,262,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,7,Sunday,1,2024,262,Peak,On-Time,40.994225169639314,Malfunction,Offline,72.55583179616377,Adult,Occasional,51,211,True,False
23,2120,2024-01-05 20:31:00,7,4,5,154,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,20,Friday,1,2024,154,Peak,Delayed,79.47102219248322,Malfunction,Operational,66.51437991093293,Adult,Rare,3,151,True,False
24,2231,2024-01-06 14:44:00,7,4,5,394,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,14,Saturday,1,2024,394,Off-Peak,Delayed,64.92037199812339,Maintenance,Operational,66.33530983765873,Adult,Frequent,63,331,False,False
25,2576,2024-01-07 19:01:00,7,4,5,243,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,19,Sunday,1,2024,243,Off-Peak,Delayed,88.87263137980892,Malfunction,Degraded,53.54600112221385,Youth,Frequent,225,18,False,False
26,2964,2024-01-20 16:51:00,7,4,5,402,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,16,Saturday,1,2024,402,Peak,Delayed,35.43393033690748,Malfunction,Operational,57.21942077653408,Youth,Rare,103,299,False,True
27,3071,2024-01-13 22:23:00,7,4,5,88,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,22,Saturday,1,2024,128,Off-Peak,Delayed,99.00040400192765,Alert,Offline,94.08945638022841,Youth,Rare,48,40,False,False
28,3112,2024-01-19 18:24:00,7,4,5,392,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,18,Friday,1,2024,392,Off-Peak,Delayed,106.25835727515503,Malfunction,Offline,50.858328204202884,Youth,Frequent,256,136,False,False
29,3289,2024-01-17 19:26:00,7,4,5,445,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,19,Wednesday,1,2024,445,Off-Peak,Delayed,79.0932193774687,Maintenance,Degraded,51.185812960333486,Youth,Rare,371,74,False,False
30,3489,2024-01-23 08:55:00,7,4,5,74,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,8,Tuesday,1,2024,84,Off-Peak,Delayed,34.186513720209774,Malfunction,Operational,67.4641067283676,Youth,Rare,67,7,False,False
31,3700,2024-01-24 08:56:00,7,4,5,495,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,8,Wednesday,1,2024,495,Off-Peak,Delayed,11.927880101816454,Alert,Operational,94.3885283685297,Youth,Frequent,326,169,False,False
32,4637,2024-01-22 06:35:00,7,4,5,448,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,6,Monday,1,2024,448,Peak,On-Time,78.0811101264223,Maintenance,Operational,80.16025943318756,Adult,Frequent,12,436,True,False
33,4656,2024-01-18 19:57:00,7,4,5,73,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,19,Thursday,1,2024,80,Peak,Delayed,59.68066197684618,Maintenance,Operational,72.05374546119646,Youth,Frequent,16,57,False,True
34,4656,2024-01-18 19:57:00,7,4,5,73,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,19,Thursday,1,2024,164,Peak,Delayed,82.79724554031532,Malfunction,Operational,80.68462004042935,Adult,Frequent,6,67,True,False
35,9204,2024-01-18 19:57:00,4,3,2,174,14th St - Union,Uptown,Downtown Manhattan,BMT,Broadway,"N, Q, R, W","N, Q, R",R332,19,Thursday,1,2024,174,Off-Peak,Delayed,45.78961080246266,Alert,Operational,97.93752059103426,Youth,Occasional,54,120,False,False
36,9204,2024-01-18 19:57:00,4,3,2,174,14th St - Union,Uptown,Downtown Manhattan,BMT,Broadway,"N, Q, R, W","N, Q, R",R332,19,Thursday,1,2024,174,Peak,Delayed,90.69216145751584,Alert,Operational,93.00668729074991,Senior,Frequent,92,82,False,False
37,5344,2024-01-22 23:44:00,7,4,5,340,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,23,Monday,1,2024,340,Peak,Delayed,72.38179114081599,Maintenance,Degraded,97.26399128245872,Youth,Frequent,75,265,False,True
38,5399,2024-01-20 13:05:00,7,4,5,436,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,13,Saturday,1,2024,436,Off-Peak,On-Time,27.043876666965623,Maintenance,Operational,76.37279213387022,Youth,Rare,409,27,False,False
39,6042,2024-01-22 02:33:00,7,4,5,308,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,2,Monday,1,2024,308,Off-Peak,Delayed,6.863309752588956,Alert,Operational,56.072094583550694,Youth,Rare,206,102,False,False
40,6105,2024-01-20 23:00:00,7,4,5,172,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,23,Saturday,1,2024,172,Peak,On-Time,23.118472509062247,Maintenance,Offline,67.25412141250752,Youth,Frequent,36,136,False,True
41,6384,2024-01-03 00:39:00,7,4,5,110,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,0,Wednesday,1,2024,110,Peak,Delayed,31.247773767503286,Malfunction,Offline,66.86765401312708,Youth,Frequent,6,104,False,True
42,6384,2024-01-03 00:39:00,7,4,5,110,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,0,Wednesday,1,2024,171,Off-Peak,Delayed,105.3026077373302,Maintenance,Operational,72.82070560068135,Adult,Frequent,34,76,False,False
43,8203,2024-01-03 00:39:00,4,6,5,115,14th St - Union,Uptown,Downtown Manhattan,BMT,Central Park W,"B, C, D","A, C",R191,0,Wednesday,1,2024,115,Off-Peak,On-Time,33.0126520586324,Maintenance,Degraded,61.29647326951357,Youth,Frequent,37,78,False,False
44,8203,2024-01-03 00:39:00,4,6,5,115,14th St - Union,Uptown,Downtown Manhattan,BMT,Central Park W,"B, C, D","A, C",R191,0,Wednesday,1,2024,187,Peak,On-Time,24.842986763449048,Alert,Operational,89.04065690505433,Youth,Frequent,52,63,False,True
45,6391,2024-01-03 06:24:00,7,4,5,272,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,6,Wednesday,1,2024,272,Peak,Delayed,75.08552213774232,Alert,Offline,66.50064852690821,Adult,Rare,156,116,True,False
46,6631,2024-01-02 20:30:00,7,4,5,191,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,20,Tuesday,1,2024,191,Off-Peak,On-Time,96.01604131241928,Malfunction,Operational,86.948163892574,Youth,Occasional,176,15,False,False
47,6922,2024-01-03 13:30:00,7,4,5,392,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,13,Wednesday,1,2024,392,Off-Peak,On-Time,21.544815183682687,Maintenance,Operational,91.82267452640238,Senior,Occasional,330,62,False,False
48,6922,2024-01-03 13:30:00,7,4,5,392,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,13,Wednesday,1,2024,392,Off-Peak,On-Time,66.5938974721638,Maintenance,Offline,68.80128167421591,Adult,Occasional,337,55,False,False
49,810,2024-01-03 13:30:00,4,1,6,98,14th St - Union,Uptown,Downtown Manhattan,BMT,Liberty Av,"A, S","L, M",R210,13,Wednesday,1,2024,98,Off-Peak,Delayed,107.72906257283485,Alert,Degraded,76.93596417360968,Senior,Frequent,58,40,False,False
50,810,2024-01-03 13:30:00,4,1,6,98,14th St - Union,Uptown,Downtown Manhattan,BMT,Liberty Av,"A, S","L, M",R210,13,Wednesday,1,2024,129,Off-Peak,Delayed,72.41796748832294,Malfunction,Operational,50.298073192662926,Adult,Frequent,66,32,False,False
51,7000,2024-01-10 02:29:00,7,4,5,410,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,2,Wednesday,1,2024,410,Off-Peak,On-Time,23.697510976587026,Malfunction,Operational,85.98828160983689,Senior,Rare,174,236,False,False
52,7000,2024-01-10 02:29:00,7,4,5,410,Grand Central,Uptown,Downtown Brooklyn,BMT,Central Park W,"B, C, D","A, C",R450,2,Wednesday,1,2024,410,Peak,On-Time,71.21061278481054,Malfunction,Operational,89.64347069404613,Adult,Occasional,311,99,True,False
53,6297,2024-01-10 02:29:00,8,5,4,93,Canal St,Downtown,Uptown Bronx,BMT,Lexington Av,"L, 4, 5, 6","4, 5, 6",R180,2,Wednesday,1,2024,108,Peak,Delayed,57.373337964108366,Maintenance,Degraded,50.25169348213558,Senior,Occasional,70,23,False,False
54,6297,2024-01-10 02:29:00,8,5,4,93,Canal St,Downtown,Uptown Bronx,BMT,Lexington Av,"L, 4, 5, 6","4, 5, 6",R180,2,Wednesday,1,2024,111,Off-Peak,On-Time,25.245054067491843,Maintenance,Degraded,95.72985665717094,Adult,Frequent,90,3,False,False
